City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
214,ribeira grande,38.5167,-28.7,79.2,78,75,8.05,PT,1693417999
215,la'ie,21.6477,-157.9253,84.16,78,5,8.01,US,1693417999
216,priladozhskiy,59.85,31.4833,65.53,1,87,10.09,RU,1693417999
217,ciudad lazaro cardenas,17.9583,-102.2,87.24,67,11,5.46,MX,1693417747
218,howard springs,-12.497,131.047,69.71,73,45,4.29,AU,1693417999
219,howrah,22.5892,88.3103,87.8,84,40,3.44,IN,1693417999
220,affery,6.315,-3.9603,76.46,94,72,2.8,CI,1693417999
221,crucecita,-28.95,-58.9833,82.24,33,0,9.08,AR,1693418000
222,itoman,26.1247,127.6694,84.22,89,20,8.05,JP,1693418000
223,villarrobledo,39.2699,-2.6012,80.87,24,38,9.51,ES,1693418000
224,muroto-misakicho,33.2833,134.15,79.92,89,100,12.8,JP,1693418000
225,hobyo,5.3505,48.5268,77.59,81,96,26.78,SO,1693418000
226,bumba,2.1833,22.4667,73.89,83,20,1.41,CD,1693418000
227,torghay,49.6339,63.4981,59.22,59,100,15.39,KZ,1693418000
228,oamaru,-45.0784,170.9801,43.09,72,7,6.46,NZ,1693418001
229,spas-demensk,54.4122,34.0226,64.09,80,32,6.89,RU,1693418001
230,igarka,67.4667,86.5833,43.7,89,89,13.2,RU,1693418001
231,maiyama,12.0841,4.3677,78.91,79,100,7.4,NG,1693418001
232,kirensk,57.7853,108.1119,62.89,80,74,3.58,RU,1693418001
233,duragan,41.4158,35.0544,78.66,46,0,4.27,TR,1693418001
234,sao joao da barra,-21.6403,-41.0511,78.89,86,45,9.06,BR,1693418001
235,kaa-khem,51.6833,94.7333,68.85,55,98,3.29,RU,1693418002
236,port arthur,38.8,121.2667,68.22,67,0,6.91,CN,1693418002
237,inda silase,14.1031,38.2829,61.41,90,79,2.91,ET,1693418002
238,lompoc,34.6391,-120.4579,91.69,57,0,3.44,US,1693417788
239,velikiye luki,56.34,30.5452,70.56,82,22,11.41,RU,1693418002
240,pisco,-13.7,-76.2167,69.85,73,0,11.5,PE,1693418002
241,revelstoke,50.9832,-118.2023,71.62,56,40,13.8,CA,1693418002
242,zheshart,62.0731,49.5733,48.94,85,26,2.8,RU,1693418003
243,port elizabeth,-33.918,25.5701,72.1,52,0,0.0,ZA,1693418003
244,slave lake,55.2834,-114.769,66.18,77,0,4.61,CA,1693417703
245,pravokumskoye,44.7694,44.6472,65.07,42,0,11.77,RU,1693418003
246,nyurba,63.2842,118.3319,60.87,64,90,5.99,RU,1693418003
247,guarapari,-20.6667,-40.4975,77.9,91,57,2.73,BR,1693418003
248,carnarvon,-24.8667,113.6333,70.07,61,0,8.03,AU,1693418004
249,susuman,62.7833,148.1667,55.42,64,54,7.83,RU,1693418004
250,saldanha,-33.0117,17.9442,59.05,92,82,6.6,ZA,1693418004
251,krutinka,56.0055,71.5113,54.54,97,100,4.52,RU,1693418004
252,macapa,0.0389,-51.0664,91.38,58,20,10.36,BR,1693418004
253,bel ombre,-4.6167,55.4167,80.44,74,20,10.36,SC,1693418004
254,hengchun,22.0042,120.7439,81.41,83,100,23.22,TW,1693418004
255,chulym,55.0997,80.9572,59.61,69,73,10.87,RU,1693418005
256,rio grande,-32.035,-52.0986,71.71,66,14,6.17,BR,1693418005
257,aykhal,66.0,111.5,56.12,88,100,26.11,RU,1693418005
258,dakhla,23.6848,-15.958,78.82,61,79,23.02,EH,1693418005
259,san juan de miraflores,-12.1629,-76.9635,68.52,74,48,9.19,PE,1693418005
260,fortuna,40.5982,-124.1573,68.94,85,0,11.5,US,1693418005
261,vila franca do campo,37.7167,-25.4333,75.61,67,49,4.63,PT,1693418005
262,tralee,52.2704,-9.7026,61.05,72,40,5.75,IE,1693418005
263,okhotsk,59.3833,143.3,57.27,91,28,5.35,RU,1693418006
264,minas de marcona,-15.2119,-75.1103,63.99,63,55,18.34,PE,1693418006
265,al fahahil,29.0825,48.1303,99.9,34,0,5.57,KW,1693418006
266,calama,-22.4667,-68.9333,73.89,7,0,11.5,CL,1693417714
267,kalmunai,7.4167,81.8167,78.71,85,100,4.74,LK,1693418006
268,siwa oasis,29.2041,25.5195,99.48,16,0,7.43,EG,1693418006
269,upington,-28.4478,21.2561,73.78,21,0,6.91,ZA,1693418006
270,kingston,17.997,-76.7936,95.23,67,20,18.41,JM,1693417787
271,dudinka,69.4058,86.1778,45.63,70,5,14.74,RU,1693418007
272,xiva,41.3783,60.3639,62.58,30,0,6.73,UZ,1693418007
273,willmar,45.1219,-95.0433,76.87,64,0,9.22,US,1693418007
274,'ain el turk,35.7438,-0.7693,88.7,65,75,6.91,DZ,1693418007
275,baturaja,-4.1333,104.1667,72.39,85,56,2.98,ID,1693418007
276,ola,59.5833,151.2833,52.3,97,95,4.61,RU,1693418007
277,guiuan,11.0333,125.7247,83.75,79,89,13.51,PH,1693418008
278,coquimbo,-29.9533,-71.3436,62.33,67,0,14.97,CL,1693418008
279,santiago de cao,-7.9589,-79.2392,71.73,78,75,5.75,PE,1693418008
280,cuatro cienegas de carranza,26.9833,-102.0833,91.17,26,5,7.87,MX,1693418008
281,menongue,-14.6585,17.691,65.46,21,0,5.7,AO,1693418008
282,leava,-14.3,-178.1667,80.55,79,100,26.15,WF,1693418008
283,bougouni,11.417,-7.479,81.0,78,83,3.0,ML,1693418008
284,khovd,48.0056,91.6419,65.71,46,94,6.58,MN,1693418009
285,uturoa,-16.7333,-151.4333,76.46,77,99,14.29,PF,1693418009
286,san antonio de pale,-1.4014,5.6325,75.18,89,58,12.75,GQ,1693418009
287,peterhead,57.5058,-1.7981,59.4,81,0,11.48,GB,1693418009
